Timestamp,Device Name,Temperature (°C),Frequency (Hz),Voltage (V),Configuration,Current (A)
2025-06-10 12:49:03,140D2,40,6000000,400,Single Conduction,0.053246932
2025-06-10 12:49:06,140D2,40,6000000,400,Single Conduction,0.053281335
2025-06-10 12:49:09,140D2,40,6000000,400,Single Conduction,0.05330463
2025-06-10 12:49:12,140D2,40,6000000,400,Single Conduction,0.053330783
2025-06-10 12:49:15,140D2,40,6000000,400,Single Conduction,0.053338882
2025-06-10 12:49:18,140D2,40,6000000,400,Single Conduction,0.0533618
2025-06-10 12:49:20,140D2,40,6000000,400,Single Conduction,0.053376093
2025-06-10 12:49:23,140D2,40,6000000,400,Single Conduction,0.053375943
2025-06-10 12:49:26,140D2,40,6000000,400,Single Conduction,0.053391088
2025-06-10 12:49:29,140D2,40,6000000,400,Single Conduction,0.053399162
2025-06-10 12:49:32,140D2,40,6000000,400,Single Conduction,0.053419498
2025-06-10 12:49:35,140D2,40,6000000,400,Single Conduction,0.05342351
2025-06-10 12:49:38,140D2,40,6000000,400,Single Conduction,0.053426243
2025-06-10 12:49:40,140D2,40,6000000,400,Single Conduction,0.053429352
2025-06-10 12:49:43,140D2,40,6000000,400,Single Conduction,0.053431985
2025-06-10 12:49:46,140D2,40,6000000,400,Single Conduction,0.05344387
2025-06-10 12:49:49,140D2,40,6000000,400,Single Conduction,0.053444899
2025-06-10 12:49:52,140D2,40,6000000,400,Single Conduction,0.053446604
2025-06-10 12:49:55,140D2,40,6000000,400,Single Conduction,0.053444472
2025-06-10 12:49:58,140D2,40,6000000,400,Single Conduction,0.053431659
2025-06-10 12:50:01,140D2,40,6000000,400,Single Conduction,0.053438881
