Timestamp,Device Name,Temperature (°C),Frequency (Hz),Voltage (V),Configuration,Duty Cycle (%),Current (A)
2025-07-01 16:49:09,145D2,25,6000000,300,Dual Conduction,50,0.055706535
2025-07-01 16:49:11,145D2,25,6000000,300,Dual Conduction,50,0.055878147
2025-07-01 16:49:13,145D2,25,6000000,300,Dual Conduction,50,0.056050788
2025-07-01 16:49:15,145D2,25,6000000,300,Dual Conduction,50,0.05620901
2025-07-01 16:49:17,145D2,25,6000000,300,Dual Conduction,50,0.056358607
2025-07-01 16:49:19,145D2,25,6000000,300,Dual Conduction,50,0.056512266
2025-07-01 16:49:21,145D2,25,6000000,300,Dual Conduction,50,0.056634157
2025-07-01 16:49:23,145D2,25,6000000,300,Dual Conduction,50,0.05673561
2025-07-01 16:49:25,145D2,25,6000000,300,Dual Conduction,50,0.056831898
2025-07-01 16:49:26,145D2,25,6000000,300,Dual Conduction,50,0.05691798
2025-07-01 16:49:28,145D2,25,6000000,300,Dual Conduction,50,0.056982849
2025-07-01 16:49:30,145D2,25,6000000,300,Dual Conduction,50,0.057044558
2025-07-01 16:49:32,145D2,25,6000000,300,Dual Conduction,50,0.05712041
2025-07-01 16:49:34,145D2,25,6000000,300,Dual Conduction,50,0.057184351
2025-07-01 16:49:36,145D2,25,6000000,300,Dual Conduction,50,0.057269806
2025-07-01 16:49:38,145D2,25,6000000,300,Dual Conduction,50,0.057336154
2025-07-01 16:49:40,145D2,25,6000000,300,Dual Conduction,50,0.057391569
2025-07-01 16:49:42,145D2,25,6000000,300,Dual Conduction,50,0.057426574
2025-07-01 16:49:43,145D2,25,6000000,300,Dual Conduction,50,0.057482115
2025-07-01 16:49:45,145D2,25,6000000,300,Dual Conduction,50,0.057497034
2025-07-01 16:49:47,145D2,25,6000000,300,Dual Conduction,50,0.057525896
2025-07-01 16:49:49,145D2,25,6000000,300,Dual Conduction,50,0.057541016
2025-07-01 16:49:51,145D2,25,6000000,300,Dual Conduction,50,0.057547761
2025-07-01 16:49:53,145D2,25,6000000,300,Dual Conduction,50,0.057550344
2025-07-01 16:49:55,145D2,25,6000000,300,Dual Conduction,50,0.05755902
2025-07-01 16:49:57,145D2,25,6000000,300,Dual Conduction,50,0.057543674
2025-07-01 16:49:59,145D2,25,6000000,300,Dual Conduction,50,0.057526598
2025-07-01 16:50:00,145D2,25,6000000,300,Dual Conduction,50,0.057507039
2025-07-01 16:50:02,145D2,25,6000000,300,Dual Conduction,50,0.057484271
2025-07-01 16:50:04,145D2,25,6000000,300,Dual Conduction,50,0.057491117
2025-07-01 16:50:06,145D2,25,6000000,300,Dual Conduction,50,0.057474116
2025-07-01 16:50:08,145D2,25,6000000,300,Dual Conduction,50,0.057470229

FINAL_READINGS,80.8669857,3.2531014124985,0.057470229,5100000.0
