Timestamp,Device Name,Temperature (°C),Frequency (Hz),Voltage (V),Configuration,Duty Cycle (%),Current (A)
2025-06-30 17:38:44,145D2,40,6000000,400,Single Device,50,0.048068084
2025-06-30 17:38:46,145D2,40,6000000,400,Single Device,50,0.048074729
2025-06-30 17:38:47,145D2,40,6000000,400,Single Device,50,0.048088746
2025-06-30 17:38:49,145D2,40,6000000,400,Single Device,50,0.048111413
2025-06-30 17:38:51,145D2,40,6000000,400,Single Device,50,0.048123976
2025-06-30 17:38:53,145D2,40,6000000,400,Single Device,50,0.048126809
2025-06-30 17:38:55,145D2,40,6000000,400,Single Device,50,0.048143384
2025-06-30 17:38:57,145D2,40,6000000,400,Single Device,50,0.04815725
2025-06-30 17:38:59,145D2,40,6000000,400,Single Device,50,0.048166152
2025-06-30 17:39:01,145D2,40,6000000,400,Single Device,50,0.048173173
2025-06-30 17:39:03,145D2,40,6000000,400,Single Device,50,0.048177912
2025-06-30 17:39:05,145D2,40,6000000,400,Single Device,50,0.048190901
2025-06-30 17:39:06,145D2,40,6000000,400,Single Device,50,0.04821565
2025-06-30 17:39:08,145D2,40,6000000,400,Single Device,50,0.048225805
2025-06-30 17:39:10,145D2,40,6000000,400,Single Device,50,0.048230419
2025-06-30 17:39:12,145D2,40,6000000,400,Single Device,50,0.048216327
2025-06-30 17:39:14,145D2,40,6000000,400,Single Device,50,0.048219712
2025-06-30 17:39:16,145D2,40,6000000,400,Single Device,50,0.048218684
2025-06-30 17:39:18,145D2,40,6000000,400,Single Device,50,0.048223975
2025-06-30 17:39:20,145D2,40,6000000,400,Single Device,50,0.048216352
2025-06-30 17:39:22,145D2,40,6000000,400,Single Device,50,0.048221066
2025-06-30 17:39:23,145D2,40,6000000,400,Single Device,50,0.048227736
2025-06-30 17:39:25,145D2,40,6000000,400,Single Device,50,0.04823082
2025-06-30 17:39:27,145D2,40,6000000,400,Single Device,50,0.048235736
2025-06-30 17:39:29,145D2,40,6000000,400,Single Device,50,0.048239999
2025-06-30 17:39:31,145D2,40,6000000,400,Single Device,50,0.048244738
2025-06-30 17:39:33,145D2,40,6000000,400,Single Device,50,0.048235711
2025-06-30 17:39:35,145D2,40,6000000,400,Single Device,50,0.048229215
2025-06-30 17:39:37,145D2,40,6000000,400,Single Device,50,0.048228488
2025-06-30 17:39:39,145D2,40,6000000,400,Single Device,50,0.048234708
2025-06-30 17:39:40,145D2,40,6000000,400,Single Device,50,0.048244286
2025-06-30 17:39:42,145D2,40,6000000,400,Single Device,50,0.04825206

FINAL_READINGS,113.842532,4.4490689363057,0.04825206,5200000.0
