Timestamp,Device Name,Temperature (°C),Frequency (Hz),Voltage (V),Configuration,Duty Cycle (%),Current (A)
2025-10-20 15:33:16,EPC2307,25,27000000,100,Single Device,25,0.06183824
2025-10-20 15:33:18,EPC2307,25,27000000,100,Single Device,25,0.061846485
2025-10-20 15:33:20,EPC2307,25,27000000,100,Single Device,25,0.061849701
2025-10-20 15:33:22,EPC2307,25,27000000,100,Single Device,25,0.061923714
2025-10-20 15:33:24,EPC2307,25,27000000,100,Single Device,25,0.061973425
2025-10-20 15:33:26,EPC2307,25,27000000,100,Single Device,25,0.062130828
2025-10-20 15:33:27,EPC2307,25,27000000,100,Single Device,25,0.062100967
2025-10-20 15:33:29,EPC2307,25,27000000,100,Single Device,25,0.062113129
2025-10-20 15:33:31,EPC2307,25,27000000,100,Single Device,25,0.062118787
2025-10-20 15:33:33,EPC2307,25,27000000,100,Single Device,25,0.062124783
2025-10-20 15:33:35,EPC2307,25,27000000,100,Single Device,25,0.062121374
2025-10-20 15:33:37,EPC2307,25,27000000,100,Single Device,25,0.062122922
2025-10-20 15:33:39,EPC2307,25,27000000,100,Single Device,25,0.062128338
2025-10-20 15:33:41,EPC2307,25,27000000,100,Single Device,25,0.062110832
2025-10-20 15:33:43,EPC2307,25,27000000,100,Single Device,25,0.062054109
2025-10-20 15:33:44,EPC2307,25,27000000,100,Single Device,25,0.062010346
2025-10-20 15:33:46,EPC2307,25,27000000,100,Single Device,25,0.062116901
2025-10-20 15:33:48,EPC2307,25,27000000,100,Single Device,25,0.061976955
2025-10-20 15:33:50,EPC2307,25,27000000,100,Single Device,25,0.061955872
2025-10-20 15:33:52,EPC2307,25,27000000,100,Single Device,25,0.061988706
2025-10-20 15:33:53,EPC2307,25,27000000,100,Single Device,25,0.061994074
2025-10-20 15:33:55,EPC2307,25,27000000,100,Single Device,25,0.062557991
2025-10-20 15:33:57,EPC2307,25,27000000,100,Single Device,25,0.062110881
2025-10-20 15:33:59,EPC2307,25,27000000,100,Single Device,25,0.062022314
2025-10-20 15:34:01,EPC2307,25,27000000,100,Single Device,25,0.062239897
2025-10-20 15:34:03,EPC2307,25,27000000,100,Single Device,25,0.062011845
2025-10-20 15:34:05,EPC2307,25,27000000,100,Single Device,25,0.06265971
2025-10-20 15:34:06,EPC2307,25,27000000,100,Single Device,25,0.062033557
2025-10-20 15:34:08,EPC2307,25,27000000,100,Single Device,25,0.06203421
2025-10-20 15:34:10,EPC2307,25,27000000,100,Single Device,25,0.061872311
2025-10-20 15:34:12,EPC2307,25,27000000,100,Single Device,25,0.061779534
2025-10-20 15:34:14,EPC2307,25,27000000,100,Single Device,25,0.061798176
2025-10-20 15:34:16,EPC2307,25,27000000,100,Single Device,25,0.061793896

FINAL_READINGS,41.8019096,5.7305203952172,0.061793896,25600000.0,7.9945944451,100.0
