Timestamp,Device Name,Temperature (°C),Frequency (Hz),Voltage (V),Configuration,Duty Cycle (%),Current (A)
2025-09-28 21:51:16,EPC2307,25,6000000,200,Dual Conduction,25,0.011237783
2025-09-28 21:51:17,EPC2307,25,6000000,200,Dual Conduction,25,0.011240032
2025-09-28 21:51:19,EPC2307,25,6000000,200,Dual Conduction,25,0.011241047
2025-09-28 21:51:21,EPC2307,25,6000000,200,Dual Conduction,25,0.011241313
2025-09-28 21:51:23,EPC2307,25,6000000,200,Dual Conduction,25,0.01124141
2025-09-28 21:51:25,EPC2307,25,6000000,200,Dual Conduction,25,0.01124112
2025-09-28 21:51:27,EPC2307,25,6000000,200,Dual Conduction,25,0.011240636
2025-09-28 21:51:29,EPC2307,25,6000000,200,Dual Conduction,25,0.011240395
2025-09-28 21:51:31,EPC2307,25,6000000,200,Dual Conduction,25,0.011239814
2025-09-28 21:51:32,EPC2307,25,6000000,200,Dual Conduction,25,0.011239379
2025-09-28 21:51:34,EPC2307,25,6000000,200,Dual Conduction,25,0.011238896
2025-09-28 21:51:36,EPC2307,25,6000000,200,Dual Conduction,25,0.011238436
2025-09-28 21:51:38,EPC2307,25,6000000,200,Dual Conduction,25,0.011237953
2025-09-28 21:51:40,EPC2307,25,6000000,200,Dual Conduction,25,0.011237324
2025-09-28 21:51:42,EPC2307,25,6000000,200,Dual Conduction,25,0.011236889
2025-09-28 21:51:43,EPC2307,25,6000000,200,Dual Conduction,25,0.011236429
2025-09-28 21:51:45,EPC2307,25,6000000,200,Dual Conduction,25,0.01123597
2025-09-28 21:51:47,EPC2307,25,6000000,200,Dual Conduction,25,0.011235607
2025-09-28 21:51:49,EPC2307,25,6000000,200,Dual Conduction,25,0.011235269
2025-09-28 21:51:51,EPC2307,25,6000000,200,Dual Conduction,25,0.011234979
2025-09-28 21:51:53,EPC2307,25,6000000,200,Dual Conduction,25,0.011234761
2025-09-28 21:51:54,EPC2307,25,6000000,200,Dual Conduction,25,0.011234398
2025-09-28 21:51:56,EPC2307,25,6000000,200,Dual Conduction,25,0.011234181
2025-09-28 21:51:58,EPC2307,25,6000000,200,Dual Conduction,25,0.011233818
2025-09-28 21:52:00,EPC2307,25,6000000,200,Dual Conduction,25,0.011233697
2025-09-28 21:52:02,EPC2307,25,6000000,200,Dual Conduction,25,0.011233407
2025-09-28 21:52:03,EPC2307,25,6000000,200,Dual Conduction,25,0.011233117
2025-09-28 21:52:05,EPC2307,25,6000000,200,Dual Conduction,25,0.011233117
2025-09-28 21:52:07,EPC2307,25,6000000,200,Dual Conduction,25,0.011232923
2025-09-28 21:52:09,EPC2307,25,6000000,200,Dual Conduction,25,0.011232658
2025-09-28 21:52:11,EPC2307,25,6000000,200,Dual Conduction,25,0.011232367
2025-09-28 21:52:13,EPC2307,25,6000000,200,Dual Conduction,25,0.011231981
2025-09-28 21:52:14,EPC2307,25,6000000,200,Dual Conduction,25,0.011231811

FINAL_READINGS,35.3089295,1.3969695200684,0.011231811,6500000.0,1.1198398257877,100.0
