Timestamp,Device Name,Temperature (°C),Frequency (Hz),Voltage (V),Configuration,Duty Cycle (%),Current (A)
2025-09-28 21:59:33,EPC2307,40,6000000,200,Single Conduction,25,0.011177724
2025-09-28 21:59:34,EPC2307,40,6000000,200,Single Conduction,25,0.011179851
2025-09-28 21:59:36,EPC2307,40,6000000,200,Single Conduction,25,0.011182318
2025-09-28 21:59:38,EPC2307,40,6000000,200,Single Conduction,25,0.011184639
2025-09-28 21:59:40,EPC2307,40,6000000,200,Single Conduction,25,0.011186718
2025-09-28 21:59:42,EPC2307,40,6000000,200,Single Conduction,25,0.011188677
2025-09-28 21:59:43,EPC2307,40,6000000,200,Single Conduction,25,0.01119049
2025-09-28 21:59:45,EPC2307,40,6000000,200,Single Conduction,25,0.011191868
2025-09-28 21:59:47,EPC2307,40,6000000,200,Single Conduction,25,0.011193246
2025-09-28 21:59:49,EPC2307,40,6000000,200,Single Conduction,25,0.011194504
2025-09-28 21:59:51,EPC2307,40,6000000,200,Single Conduction,25,0.011195785
2025-09-28 21:59:53,EPC2307,40,6000000,200,Single Conduction,25,0.011196752
2025-09-28 21:59:54,EPC2307,40,6000000,200,Single Conduction,25,0.011197671
2025-09-28 21:59:56,EPC2307,40,6000000,200,Single Conduction,25,0.011198687
2025-09-28 21:59:58,EPC2307,40,6000000,200,Single Conduction,25,0.011199581
2025-09-28 22:00:00,EPC2307,40,6000000,200,Single Conduction,25,0.011200911
2025-09-28 22:00:02,EPC2307,40,6000000,200,Single Conduction,25,0.01120212
2025-09-28 22:00:04,EPC2307,40,6000000,200,Single Conduction,25,0.011203208
2025-09-28 22:00:06,EPC2307,40,6000000,200,Single Conduction,25,0.011203958
2025-09-28 22:00:08,EPC2307,40,6000000,200,Single Conduction,25,0.011204973
2025-09-28 22:00:10,EPC2307,40,6000000,200,Single Conduction,25,0.011206472
2025-09-28 22:00:12,EPC2307,40,6000000,200,Single Conduction,25,0.011207826
2025-09-28 22:00:14,EPC2307,40,6000000,200,Single Conduction,25,0.011209108
2025-09-28 22:00:16,EPC2307,40,6000000,200,Single Conduction,25,0.011210607
2025-09-28 22:00:18,EPC2307,40,6000000,200,Single Conduction,25,0.011212323
2025-09-28 22:00:19,EPC2307,40,6000000,200,Single Conduction,25,0.011212347
2025-09-28 22:00:21,EPC2307,40,6000000,200,Single Conduction,25,0.011212589
2025-09-28 22:00:23,EPC2307,40,6000000,200,Single Conduction,25,0.011213895
2025-09-28 22:00:25,EPC2307,40,6000000,200,Single Conduction,25,0.011214475
2025-09-28 22:00:27,EPC2307,40,6000000,200,Single Conduction,25,0.01121491
2025-09-28 22:00:29,EPC2307,40,6000000,200,Single Conduction,25,0.011215612
2025-09-28 22:00:30,EPC2307,40,6000000,200,Single Conduction,25,0.011216168
2025-09-28 22:00:32,EPC2307,40,6000000,200,Single Conduction,25,0.011216845

FINAL_READINGS,35.0378241,1.3760279066938,0.011216845,6500000.0,1.5999999973509,100.0
