Timestamp,Device Name,Temperature (°C),Frequency (Hz),Voltage (V),Configuration,Duty Cycle (%),Current (A)
2025-11-01 20:42:10,GPI65010,25,6000000,200,Dual Conduction,25,0.019552525
2025-11-01 20:42:12,GPI65010,25,6000000,200,Dual Conduction,25,0.019554991
2025-11-01 20:42:14,GPI65010,25,6000000,200,Dual Conduction,25,0.019560576
2025-11-01 20:42:16,GPI65010,25,6000000,200,Dual Conduction,25,0.019564469
2025-11-01 20:42:18,GPI65010,25,6000000,200,Dual Conduction,25,0.019575035
2025-11-01 20:42:20,GPI65010,25,6000000,200,Dual Conduction,25,0.019583739
2025-11-01 20:42:21,GPI65010,25,6000000,200,Dual Conduction,25,0.019596505
2025-11-01 20:42:23,GPI65010,25,6000000,200,Dual Conduction,25,0.01960683
2025-11-01 20:42:25,GPI65010,25,6000000,200,Dual Conduction,25,0.019604702
2025-11-01 20:42:27,GPI65010,25,6000000,200,Dual Conduction,25,0.019612028
2025-11-01 20:42:29,GPI65010,25,6000000,200,Dual Conduction,25,0.019617541
2025-11-01 20:42:30,GPI65010,25,6000000,200,Dual Conduction,25,0.019620757
2025-11-01 20:42:32,GPI65010,25,6000000,200,Dual Conduction,25,0.019634079
2025-11-01 20:42:34,GPI65010,25,6000000,200,Dual Conduction,25,0.01963715
2025-11-01 20:42:36,GPI65010,25,6000000,200,Dual Conduction,25,0.019643726
2025-11-01 20:42:38,GPI65010,25,6000000,200,Dual Conduction,25,0.01964583
2025-11-01 20:42:40,GPI65010,25,6000000,200,Dual Conduction,25,0.019650327
2025-11-01 20:42:41,GPI65010,25,6000000,200,Dual Conduction,25,0.019652842
2025-11-01 20:42:43,GPI65010,25,6000000,200,Dual Conduction,25,0.019654776
2025-11-01 20:42:45,GPI65010,25,6000000,200,Dual Conduction,25,0.019660941
2025-11-01 20:42:47,GPI65010,25,6000000,200,Dual Conduction,25,0.019663287
2025-11-01 20:42:49,GPI65010,25,6000000,200,Dual Conduction,25,0.019668437
2025-11-01 20:42:51,GPI65010,25,6000000,200,Dual Conduction,25,0.019663915
2025-11-01 20:42:52,GPI65010,25,6000000,200,Dual Conduction,25,0.019665995
2025-11-01 20:42:54,GPI65010,25,6000000,200,Dual Conduction,25,0.01967129
2025-11-01 20:42:56,GPI65010,25,6000000,200,Dual Conduction,25,0.019677504
2025-11-01 20:42:58,GPI65010,25,6000000,200,Dual Conduction,25,0.019682654
2025-11-01 20:43:00,GPI65010,25,6000000,200,Dual Conduction,25,0.01968599
2025-11-01 20:43:01,GPI65010,25,6000000,200,Dual Conduction,25,0.019683693
2025-11-01 20:43:03,GPI65010,25,6000000,200,Dual Conduction,25,0.01968645
2025-11-01 20:43:05,GPI65010,25,6000000,200,Dual Conduction,25,0.019695541
2025-11-01 20:43:07,GPI65010,25,6000000,200,Dual Conduction,25,0.01969322
2025-11-01 20:43:09,GPI65010,25,6000000,200,Dual Conduction,25,0.019700667

FINAL_READINGS,81.4596765,1.8533132277087,0.019700667,6500000.0,1.6797597743608,200.0
