Timestamp,Device Name,Temperature (°C),Frequency (Hz),Voltage (V),Configuration,Duty Cycle (%),Current (A)
2025-11-02 00:07:18,GPI65010,40,6000000,200,Single Conduction,25,0.019819819
2025-11-02 00:07:20,GPI65010,40,6000000,200,Single Conduction,25,0.019822817
2025-11-02 00:07:22,GPI65010,40,6000000,200,Single Conduction,25,0.019824268
2025-11-02 00:07:24,GPI65010,40,6000000,200,Single Conduction,25,0.019826903
2025-11-02 00:07:26,GPI65010,40,6000000,200,Single Conduction,25,0.019827145
2025-11-02 00:07:28,GPI65010,40,6000000,200,Single Conduction,25,0.01982833
2025-11-02 00:07:30,GPI65010,40,6000000,200,Single Conduction,25,0.019834447
2025-11-02 00:07:31,GPI65010,40,6000000,200,Single Conduction,25,0.019830457
2025-11-02 00:07:33,GPI65010,40,6000000,200,Single Conduction,25,0.019826782
2025-11-02 00:07:35,GPI65010,40,6000000,200,Single Conduction,25,0.019826758
2025-11-02 00:07:37,GPI65010,40,6000000,200,Single Conduction,25,0.019828692
2025-11-02 00:07:39,GPI65010,40,6000000,200,Single Conduction,25,0.019825622
2025-11-02 00:07:41,GPI65010,40,6000000,200,Single Conduction,25,0.01982787
2025-11-02 00:07:43,GPI65010,40,6000000,200,Single Conduction,25,0.019826468
2025-11-02 00:07:45,GPI65010,40,6000000,200,Single Conduction,25,0.019828233
2025-11-02 00:07:47,GPI65010,40,6000000,200,Single Conduction,25,0.019828088
2025-11-02 00:07:49,GPI65010,40,6000000,200,Single Conduction,25,0.019832101
2025-11-02 00:07:50,GPI65010,40,6000000,200,Single Conduction,25,0.019833939
2025-11-02 00:07:52,GPI65010,40,6000000,200,Single Conduction,25,0.019830046
2025-11-02 00:07:54,GPI65010,40,6000000,200,Single Conduction,25,0.01982978
2025-11-02 00:07:56,GPI65010,40,6000000,200,Single Conduction,25,0.019833214
2025-11-02 00:07:58,GPI65010,40,6000000,200,Single Conduction,25,0.019830216
2025-11-02 00:08:00,GPI65010,40,6000000,200,Single Conduction,25,0.019828765
2025-11-02 00:08:02,GPI65010,40,6000000,200,Single Conduction,25,0.019827991
2025-11-02 00:08:04,GPI65010,40,6000000,200,Single Conduction,25,0.019826178
2025-11-02 00:08:06,GPI65010,40,6000000,200,Single Conduction,25,0.019821535
2025-11-02 00:08:08,GPI65010,40,6000000,200,Single Conduction,25,0.019820181
2025-11-02 00:08:10,GPI65010,40,6000000,200,Single Conduction,25,0.019817207
2025-11-02 00:08:12,GPI65010,40,6000000,200,Single Conduction,25,0.019817739
2025-11-02 00:08:13,GPI65010,40,6000000,200,Single Conduction,25,0.019818199
2025-11-02 00:08:15,GPI65010,40,6000000,200,Single Conduction,25,0.019815176
2025-11-02 00:08:17,GPI65010,40,6000000,200,Single Conduction,25,0.019816796

FINAL_READINGS,81.812797,1.541327427901,0.019816796,6500000.0,1.6810410263779,202.0
