Timestamp,Device Name,Temperature (°C),Frequency (Hz),Voltage (V),Configuration,Duty Cycle (%),Current (A)
2025-11-01 21:32:13,GPI65010,25,6000000,400,Single Device,50,0.051358783
2025-11-01 21:32:15,GPI65010,25,6000000,400,Single Device,50,0.051381442
2025-11-01 21:32:17,GPI65010,25,6000000,400,Single Device,50,0.051407627
2025-11-01 21:32:19,GPI65010,25,6000000,400,Single Device,50,0.051424432
2025-11-01 21:32:21,GPI65010,25,6000000,400,Single Device,50,0.051429122
2025-11-01 21:32:23,GPI65010,25,6000000,400,Single Device,50,0.051442469
2025-11-01 21:32:25,GPI65010,25,6000000,400,Single Device,50,0.051455235
2025-11-01 21:32:27,GPI65010,25,6000000,400,Single Device,50,0.051461884
2025-11-01 21:32:29,GPI65010,25,6000000,400,Single Device,50,0.051480018
2025-11-01 21:32:31,GPI65010,25,6000000,400,Single Device,50,0.051484467
2025-11-01 21:32:33,GPI65010,25,6000000,400,Single Device,50,0.051491914
2025-11-01 21:32:35,GPI65010,25,6000000,400,Single Device,50,0.051493534
2025-11-01 21:32:37,GPI65010,25,6000000,400,Single Device,50,0.051507533
2025-11-01 21:32:39,GPI65010,25,6000000,400,Single Device,50,0.051519574
2025-11-01 21:32:41,GPI65010,25,6000000,400,Single Device,50,0.051525353
2025-11-01 21:32:43,GPI65010,25,6000000,400,Single Device,50,0.051541456
2025-11-01 21:32:45,GPI65010,25,6000000,400,Single Device,50,0.05155884
2025-11-01 21:32:47,GPI65010,25,6000000,400,Single Device,50,0.051565876
2025-11-01 21:32:49,GPI65010,25,6000000,400,Single Device,50,0.051553908
2025-11-01 21:32:51,GPI65010,25,6000000,400,Single Device,50,0.051553303
2025-11-01 21:32:53,GPI65010,25,6000000,400,Single Device,50,0.05157533
2025-11-01 21:32:55,GPI65010,25,6000000,400,Single Device,50,0.051574798
2025-11-01 21:32:56,GPI65010,25,6000000,400,Single Device,50,0.051579489
2025-11-01 21:32:58,GPI65010,25,6000000,400,Single Device,50,0.051592086
2025-11-01 21:33:00,GPI65010,25,6000000,400,Single Device,50,0.051580021
2025-11-01 21:33:02,GPI65010,25,6000000,400,Single Device,50,0.051570688
2025-11-01 21:33:04,GPI65010,25,6000000,400,Single Device,50,0.051570035
2025-11-01 21:33:06,GPI65010,25,6000000,400,Single Device,50,0.051576273
2025-11-01 21:33:08,GPI65010,25,6000000,400,Single Device,50,0.051580359
2025-11-01 21:33:10,GPI65010,25,6000000,400,Single Device,50,0.051582076
2025-11-01 21:33:12,GPI65010,25,6000000,400,Single Device,50,0.051595979

FINAL_READINGS,120.447234,4.4774078214967,0.051595979,5300000.0,6.15687666999,400.0
