Timestamp,Device Name,Temperature (°C),Frequency (Hz),Voltage (V),Configuration,Duty Cycle (%),Current (A)
2025-07-22 17:38:14,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.074975572
2025-07-22 17:38:16,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.074971872
2025-07-22 17:38:18,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.074971316
2025-07-22 17:38:20,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.074957172
2025-07-22 17:38:22,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.074978715
2025-07-22 17:38:24,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.075012251
2025-07-22 17:38:26,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.075077484
2025-07-22 17:38:28,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.075249249
2025-07-22 17:38:30,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.075178841
2025-07-22 17:38:32,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.075152873
2025-07-22 17:38:34,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.075149174
2025-07-22 17:38:35,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.075139309
2025-07-22 17:38:37,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.075163004
2025-07-22 17:38:39,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.075149996
2025-07-22 17:38:41,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.075162593
2025-07-22 17:38:43,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.075226787
2025-07-22 17:38:45,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.075212377
2025-07-22 17:38:47,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.075326354
2025-07-22 17:38:49,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.075438277
2025-07-22 17:38:51,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.075443766
2025-07-22 17:38:53,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.075451575
2025-07-22 17:38:55,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.075480783
2025-07-22 17:38:57,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.075483612
2025-07-22 17:38:59,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.075200674
2025-07-22 17:39:01,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.075360325
2025-07-22 17:39:03,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.075245912
2025-07-22 17:39:05,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.075221589
2025-07-22 17:39:07,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.075231937
2025-07-22 17:39:09,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.075244365
2025-07-22 17:39:11,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.07522935
2025-07-22 17:39:13,GPI65015DFN,25,6000000,400,Dual Conduction,50,0.07520036

FINAL_READINGS,111.071586,3.9691901995145,0.07520036,5500000.0,2.3582836330477
