Timestamp,Device Name,Temperature (°C),Frequency (Hz),Voltage (V),Configuration,Duty Cycle (%),Current (A)
2025-07-11 21:54:15,GPI65030DFN,40,6000000,400,Single Device,50,0.060313219
2025-07-11 21:54:17,GPI65030DFN,40,6000000,400,Single Device,50,0.060405219
2025-07-11 21:54:19,GPI65030DFN,40,6000000,400,Single Device,50,0.060481333
2025-07-11 21:54:21,GPI65030DFN,40,6000000,400,Single Device,50,0.060555972
2025-07-11 21:54:23,GPI65030DFN,40,6000000,400,Single Device,50,0.060620481
2025-07-11 21:54:25,GPI65030DFN,40,6000000,400,Single Device,50,0.060683587
2025-07-11 21:54:27,GPI65030DFN,40,6000000,400,Single Device,50,0.060733298
2025-07-11 21:54:29,GPI65030DFN,40,6000000,400,Single Device,50,0.060786636
2025-07-11 21:54:31,GPI65030DFN,40,6000000,400,Single Device,50,0.060835458
2025-07-11 21:54:33,GPI65030DFN,40,6000000,400,Single Device,50,0.060874917
2025-07-11 21:54:35,GPI65030DFN,40,6000000,400,Single Device,50,0.060911209
2025-07-11 21:54:37,GPI65030DFN,40,6000000,400,Single Device,50,0.06095004
2025-07-11 21:54:38,GPI65030DFN,40,6000000,400,Single Device,50,0.060981665
2025-07-11 21:54:40,GPI65030DFN,40,6000000,400,Single Device,50,0.061014089
2025-07-11 21:54:43,GPI65030DFN,40,6000000,400,Single Device,50,0.061045352
2025-07-11 21:54:44,GPI65030DFN,40,6000000,400,Single Device,50,0.061087882
2025-07-11 21:54:46,GPI65030DFN,40,6000000,400,Single Device,50,0.061105339
2025-07-11 21:54:48,GPI65030DFN,40,6000000,400,Single Device,50,0.061137593
2025-07-11 21:54:50,GPI65030DFN,40,6000000,400,Single Device,50,0.06115725
2025-07-11 21:54:52,GPI65030DFN,40,6000000,400,Single Device,50,0.06118126
2025-07-11 21:54:54,GPI65030DFN,40,6000000,400,Single Device,50,0.061198789
2025-07-11 21:54:56,GPI65030DFN,40,6000000,400,Single Device,50,0.061217189
2025-07-11 21:54:58,GPI65030DFN,40,6000000,400,Single Device,50,0.061232929
2025-07-11 21:55:00,GPI65030DFN,40,6000000,400,Single Device,50,0.06124144
2025-07-11 21:55:02,GPI65030DFN,40,6000000,400,Single Device,50,0.0612625
2025-07-11 21:55:04,GPI65030DFN,40,6000000,400,Single Device,50,0.061266948
2025-07-11 21:55:06,GPI65030DFN,40,6000000,400,Single Device,50,0.06128044
2025-07-11 21:55:07,GPI65030DFN,40,6000000,400,Single Device,50,0.061303458
2025-07-11 21:55:09,GPI65030DFN,40,6000000,400,Single Device,50,0.061317167
2025-07-11 21:55:11,GPI65030DFN,40,6000000,400,Single Device,50,0.061334383
2025-07-11 21:55:13,GPI65030DFN,40,6000000,400,Single Device,50,0.061346883
2025-07-11 21:55:15,GPI65030DFN,40,6000000,400,Single Device,50,0.061355394

FINAL_READINGS,110.177364,4.1006502473407,0.061355394,5500000.0,2.203190713488
