Timestamp,Device Name,Temperature (°C),Frequency (Hz),Voltage (V),Configuration,Duty Cycle (%),Current (A)
2025-12-03 02:57:11,GS66504B,25,6000000,300,Single Device,25,0.014441646
2025-12-03 02:57:16,GS66504B,25,6000000,300,Single Device,25,0.01445197
2025-12-03 02:57:17,GS66504B,25,6000000,300,Single Device,25,0.014455959
2025-12-03 02:57:19,GS66504B,25,6000000,300,Single Device,25,0.014458716
2025-12-03 02:57:21,GS66504B,25,6000000,300,Single Device,25,0.01446065
2025-12-03 02:57:25,GS66504B,25,6000000,300,Single Device,25,0.014463527
2025-12-03 02:57:27,GS66504B,25,6000000,300,Single Device,25,0.014464543
2025-12-03 02:57:29,GS66504B,25,6000000,300,Single Device,25,0.014464712
2025-12-03 02:57:31,GS66504B,25,6000000,300,Single Device,25,0.01446447
2025-12-03 02:57:33,GS66504B,25,6000000,300,Single Device,25,0.0144636
2025-12-03 02:57:36,GS66504B,25,6000000,300,Single Device,25,0.014461496
2025-12-03 02:57:38,GS66504B,25,6000000,300,Single Device,25,0.014460336
2025-12-03 02:57:40,GS66504B,25,6000000,300,Single Device,25,0.014459344
2025-12-03 02:57:42,GS66504B,25,6000000,300,Single Device,25,0.014457386
2025-12-03 02:57:44,GS66504B,25,6000000,300,Single Device,25,0.0144555
2025-12-03 02:57:48,GS66504B,25,6000000,300,Single Device,25,0.014451462
2025-12-03 02:57:50,GS66504B,25,6000000,300,Single Device,25,0.014448802
2025-12-03 02:57:52,GS66504B,25,6000000,300,Single Device,25,0.014446868
2025-12-03 02:57:54,GS66504B,25,6000000,300,Single Device,25,0.014444474
2025-12-03 02:57:55,GS66504B,25,6000000,300,Single Device,25,0.014442371
2025-12-03 02:57:59,GS66504B,25,6000000,300,Single Device,25,0.014438744
2025-12-03 02:58:01,GS66504B,25,6000000,300,Single Device,25,0.014436278
2025-12-03 02:58:03,GS66504B,25,6000000,300,Single Device,25,0.014433981
2025-12-03 02:58:04,GS66504B,25,6000000,300,Single Device,25,0.014431273
2025-12-03 02:58:06,GS66504B,25,6000000,300,Single Device,25,0.014428734
2025-12-03 02:58:10,GS66504B,25,6000000,300,Single Device,25,0.014424019

FINAL_READINGS,126.336852,14.182703373540665,0.014424019,6400000.0,2.9812933569174,1.4379179537356
