Timestamp,Device Name,Temperature (°C),Frequency (Hz),Voltage (V),Configuration,Duty Cycle (%),Current (A)
2025-11-20 18:39:25,GS66504B,80,6000000,400,Single Conduction,50,0.04793032
2025-11-20 18:39:27,GS66504B,80,6000000,400,Single Conduction,50,0.047959938
2025-11-20 18:39:29,GS66504B,80,6000000,400,Single Conduction,50,0.047972729
2025-11-20 18:39:31,GS66504B,80,6000000,400,Single Conduction,50,0.047991757
2025-11-20 18:39:33,GS66504B,80,6000000,400,Single Conduction,50,0.048031555
2025-11-20 18:39:35,GS66504B,80,6000000,400,Single Conduction,50,0.048089463
2025-11-20 18:39:37,GS66504B,80,6000000,400,Single Conduction,50,0.048137506
2025-11-20 18:39:39,GS66504B,80,6000000,400,Single Conduction,50,0.048175273
2025-11-20 18:39:41,GS66504B,80,6000000,400,Single Conduction,50,0.048197009
2025-11-20 18:39:43,GS66504B,80,6000000,400,Single Conduction,50,0.048202474
2025-11-20 18:39:44,GS66504B,80,6000000,400,Single Conduction,50,0.048196381
2025-11-20 18:39:46,GS66504B,80,6000000,400,Single Conduction,50,0.048182672
2025-11-20 18:39:48,GS66504B,80,6000000,400,Single Conduction,50,0.048166013
2025-11-20 18:39:50,GS66504B,80,6000000,400,Single Conduction,50,0.048153295
2025-11-20 18:39:52,GS66504B,80,6000000,400,Single Conduction,50,0.048157816
2025-11-20 18:39:54,GS66504B,80,6000000,400,Single Conduction,50,0.04818492
2025-11-20 18:39:56,GS66504B,80,6000000,400,Single Conduction,50,0.048230739
2025-11-20 18:39:58,GS66504B,80,6000000,400,Single Conduction,50,0.048277311
2025-11-20 18:40:00,GS66504B,80,6000000,400,Single Conduction,50,0.048298878
2025-11-20 18:40:02,GS66504B,80,6000000,400,Single Conduction,50,0.048301054
2025-11-20 18:40:04,GS66504B,80,6000000,400,Single Conduction,50,0.048295614
2025-11-20 18:40:06,GS66504B,80,6000000,400,Single Conduction,50,0.048298829
2025-11-20 18:40:08,GS66504B,80,6000000,400,Single Conduction,50,0.048306978
2025-11-20 18:40:10,GS66504B,80,6000000,400,Single Conduction,50,0.048318898
2025-11-20 18:40:12,GS66504B,80,6000000,400,Single Conduction,50,0.048337491
2025-11-20 18:40:14,GS66504B,80,6000000,400,Single Conduction,50,0.048364474
2025-11-20 18:40:16,GS66504B,80,6000000,400,Single Conduction,50,0.048383672
2025-11-20 18:40:18,GS66504B,80,6000000,400,Single Conduction,50,0.048384035
2025-11-20 18:40:19,GS66504B,80,6000000,400,Single Conduction,50,0.048386815
2025-11-20 18:40:21,GS66504B,80,6000000,400,Single Conduction,50,0.048378595
2025-11-20 18:40:23,GS66504B,80,6000000,400,Single Conduction,50,0.048365417

FINAL_READINGS,111.745932,3.324451050309755,0.048365417,6600000.0,0.400000005154996,398.0
